rank,feature,abs_coef
118,num__batch_number_wow_delta_W4_W5,0.25447772194885937
119,num__net_cpo_lc_wow_delta_W4_W5,0.24953270549421436
120,num__total_earnings_W4,0.2475664425452165
121,num__hours_worked_wow_delta_W5_W6,0.24641054779339866
122,num__shifts_done_per_order_wow_delta_W3_W4,0.23448570121159884
123,num__batch_number_W4,0.23428213067232728
124,num__total_bw_orders_per_order_W6,0.2291709661719831
125,num__contacts_total_tickets_per_order_wow_delta_W4_W5,0.22293707212140979
126,num__shifts_done_wow_delta_W4_W5,0.22249269247180978
127,num__batch_number_W1,0.21150894024241262
128,num__compliance_distinct_violation_types_wow_delta_W4_W5,0.21144622815177305
129,num__total_orders_cpo_wow_delta_W5_W6,0.2034154570128934
130,num__total_earnings_per_order_wow_delta_W3_W4,0.19768243353476878
131,num__cpo_local_currency_wow_delta_W3_W4,0.19768243353471593
132,num__hours_worked_W0,0.19231338362727507
133,num__batch_number_wow_delta_W5_W6,0.18506203324169013
134,num__cpo_local_currency_wow_delta_W2_W3,0.18178775352431623
135,num__total_earnings_per_order_wow_delta_W2_W3,0.1817877535242906
136,num__no_shows_wow_delta_W1_W2,0.17306756674027254
137,num__total_bw_orders_per_order_wow_delta_W4_W5,0.1677623959349642
138,num__total_earnings_wow_delta_W3_W4,0.16585123612466443
139,num__batch_number_wow_delta_W3_W4,0.15899471186697048
140,num__hours_worked_W4,0.1580989746219368
141,num__avg_sp_distance_google_W5,0.1576078703892609
142,num__no_shows_W2,0.15755610258358216
143,num__shifts_done_trend_slope_8w,0.1570490859478834
144,num__total_bw_orders_per_order_wow_delta_W5_W6,0.1548545246027896
145,num__net_cpo_lc_W2,0.1535077237844444
146,num__hours_worked_wow_delta_W3_W4,0.15228176033009247
147,num__batch_number_trend_slope_8w,0.1468233132996881
148,num__total_orders_cpo_W4,0.14654393658541146
149,num__batch_number_wow_delta_W1_W2,0.1378949505697793
150,num__perc_reas_W5,0.1378697606090564
151,num__shifts_done_per_order_wow_delta_W5_W6,0.13753089987897943
152,num__total_earnings_wow_delta_W2_W3,0.1373571126961032
153,num__no_shows_per_order_W1,0.13655347201520063
154,num__batch_number_W5,0.1358473935731133
155,num__all_shifts_wow_delta_W5_W6,0.13407178359158234
156,num__all_shifts_per_order_W1,0.13306132301338444
157,num__total_orders_cpo_wow_delta_W0_W1,0.13243587613239569
158,num__batch_number_wow_delta_W2_W3,0.12763336311607373
159,num__total_orders_cpo_W5,0.127506649357419
160,num__net_cpo_lc_W1,0.12624981606868071
161,num__total_earnings_wow_delta_W0_W1,0.124717796825957
162,num__at_customer_time_in_minutes_W5,0.12284108221744568
163,num__total_earnings_wow_delta_W1_W2,0.1215670914011624
164,num__cdt_W5,0.12105838162503181
165,num__cpo_local_currency_wow_delta_W4_W5,0.12022717507752007
166,num__total_earnings_per_order_wow_delta_W4_W5,0.12022717507736094
167,num__hours_worked_trend_slope_8w,0.1179059471281208
168,num__hours_worked_wow_delta_W1_W2,0.11554776306840978
169,num__total_orders_cpo_wow_delta_W3_W4,0.10912430304246212
170,num__cdt_wow_delta_W5_W6,0.10612267925794004
171,num__cdt_wow_delta_W3_W4,0.10030172250001552
172,num__perc_reas_wow_delta_W5_W6,0.09732528013219117
173,num__total_orders_cpo_wow_delta_W2_W3,0.09647635441293277
174,num__perc_reas_W6,0.09413847702640835
175,num__cdt_W4,0.0937590009476558
176,num__compliance_total_violations_wow_delta_W5_W6,0.0925113705242634
177,num__total_bw_orders_per_order_W0,0.08969268340455186
178,num__avg_sat_score_W6,0.08906765390059984
179,num__total_bw_orders_per_order_wow_delta_W1_W2,0.0868463182473768
180,num__batch_number_W3,0.08682027924065322
181,num__total_orders_cpo_wow_delta_W1_W2,0.08544780525570095
182,num__avg_sat_score_W5,0.08480676166021539
183,num__avg_sat_score_wow_delta_W5_W6,0.08427921578776672
184,num__perc_reas_wow_delta_W4_W5,0.08317965189769096
185,num__total_earnings_trend_slope_8w,0.08295866695963898
186,num__compliance_total_violations_W4,0.08289929544270368
187,num__total_bw_orders_per_order_wow_delta_W0_W1,0.0827598253961458
188,num__shifts_done_per_order_W1,0.07923291569024135
189,num__contacts_total_tickets_W4,0.0789288204209732
190,num__total_earnings_W1,0.0785846134895029
191,num__no_shows_trend_slope_8w,0.07217362965104111
192,num__batch_number_W2,0.07158121757531187
193,num__total_earnings_W2,0.06885319030107687
194,num__total_bw_orders_wow_delta_W2_W3,0.06884158978077566
195,num__total_bw_orders_wow_delta_W5_W6,0.06817123331444155
196,num__total_bw_orders_per_order_wow_delta_W3_W4,0.0679987652890841
197,num__total_orders_cpo_W3,0.06729122972021365
198,num__compliance_distinct_violation_types_wow_delta_W3_W4,0.06524632064742616
199,num__avg_sp_distance_google_wow_delta_W5_W6,0.06514274578072327
200,num__compliance_total_violations_wow_delta_W1_W2,0.06504425706740258
201,num__shifts_done_per_order_W0,0.06480650000264832
202,num__perc_stacking_wow_delta_W4_W5,0.06363043242919021
203,num__total_bw_orders_per_order_W4,0.06259839286398854
204,num__cdt_W3,0.06204009694323562
205,num__batch_number_W0,0.061740199580697215
206,num__at_vendor_time_in_minutes_W0,0.05940429387581803
207,num__compliance_total_violations_W3,0.05852535429710179
208,num__perc_stacking_W6,0.05843903435689088
209,num__no_shows_per_order_wow_delta_W5_W6,0.05675144349169224
210,num__no_shows_wow_delta_W3_W4,0.055928271736704754
211,num__avg_sp_distance_google_W1,0.05559223352684895
212,num__contacts_total_tickets_per_order_W6,0.055489240204435054
213,num__avg_sp_distance_google_W3,0.054779988962214386
214,num__total_bw_orders_per_order_W1,0.05363804717832055
215,num__all_shifts_per_order_W0,0.05224724074822501
216,num__at_customer_time_in_minutes_trend_slope_8w,0.052091904040728984
217,num__cpo_local_currency_W2,0.05186005043554732
218,num__total_earnings_per_order_W2,0.05186005043545323
219,num__cpo_local_currency_W1,0.05041736289003264
220,num__total_earnings_per_order_W1,0.05041736289000429
221,num__all_shifts_per_order_wow_delta_W2_W3,0.050148614387232636
222,num__total_earnings_W0,0.04917767927452976
223,num__total_bw_orders_W0,0.04817478287823426
224,num__hours_worked_wow_delta_W2_W3,0.04777887616170134
225,num__total_bw_orders_W1,0.04751014234785085
226,num__hours_worked_wow_delta_W0_W1,0.04710446329215117
227,num__compliance_total_violations_per_order_W2,0.0465243381887514
228,num__at_vendor_time_in_minutes_W1,0.04648036306471414
229,num__at_vendor_time_in_minutes_wow_delta_W3_W4,0.046332956029683514
230,num__compliance_total_violations_W1,0.046185157135407884
231,num__avg_pd_distance_google_W5,0.045878268495717384
232,num__no_shows_per_order_wow_delta_W2_W3,0.0449065688052598
233,num__batch_number_wow_delta_W0_W1,0.044188241461459526
234,num__compliance_total_violations_W0,0.04318330013694917
235,num__contacts_total_tickets_wow_delta_W2_W3,0.0431587339005571
236,num__avg_sp_distance_google_W6,0.041543507997485345
237,num__avg_pd_distance_google_W1,0.041247211821605324
238,num__at_vendor_time_in_minutes_W2,0.040979315124734995
239,num__compliance_total_violations_wow_delta_W3_W4,0.040310307726334524
240,num__at_vendor_time_in_minutes_W6,0.040252084488799744
241,num__avg_pd_distance_google_W2,0.0392741230583181
242,num__hours_worked_W2,0.038232488248830916
243,num__compliance_total_violations_per_order_W1,0.03776665831366623
244,num__perc_stacking_W5,0.037647269990862584
245,num__total_bw_orders_wow_delta_W4_W5,0.03749970010882585
246,num__at_vendor_time_in_minutes_wow_delta_W4_W5,0.03724301283167551
247,num__total_bw_orders_W2,0.036908799294821604
248,num__compliance_distinct_violation_types_W1,0.036827914054134075
249,num__at_customer_time_in_minutes_W0,0.035969501165838746
250,num__total_bw_orders_per_order_W3,0.03573225801605918
251,num__avg_pd_distance_google_W3,0.03459751655782926
252,num__cpo_local_currency_trend_slope_8w,0.03390562724130252
253,num__total_earnings_per_order_trend_slope_8w,0.03390562724117685
254,num__net_cpo_lc_wow_delta_W5_W6,0.03340247738782205
255,num__all_shifts_per_order_wow_delta_W4_W5,0.03331130494862412
