k,cohort_size,true_positives_in_top_k,precision_at_k,recall_at_k,lift_at_k,base_positive_rate
100,100,97,0.97,0.0508652333508128,21.38272679601468,0.04536371854036824
250,250,226,0.904,0.11851074986890404,19.92781961195595,0.04536371854036824
500,500,325,0.65,0.17042475091767173,14.328631358154169,0.04536371854036824
1000,1000,409,0.409,0.21447299423177765,9.016015731515468,0.04536371854036824
