score_threshold,expected_cohort_size,expected_precision
0.9999939893271345,421,0.42280285035629456
0.9999913645694956,841,0.27705112960760997
0.999988176742661,1262,0.2179080824088748
0.9999805751750098,2102,0.17411988582302568
0.9999712194827773,2943,0.14848793747876315
0.9999550667141933,4204,0.12274024738344434
0.9999135809732809,6306,0.09879479860450364
0.9997702284839511,8408,0.09550428163653663
0.9992359670383913,10510,0.09467174119885823
0.9983131019752142,13438,0.07776454829587737
0.008903696806597002,16820,0.1133769322235434
0.003918617788881157,21368,0.08924560089853988
